"","State","County","Republic.Percent","Median.Earnings","Election_Year"
"1300","South Carolina","Kershaw County, South Carolina",60.48138528,40600,"2016"
"1225","Kansas","Clay County, Kansas",75.95921653,38227,"2016"
"2133","Kentucky","Washington County, Kentucky",71.27886323,36473,"2016"
"712","Oklahoma","Roger Mills County, Oklahoma",87.94084187,36153,"2016"
"12","Louisiana","Red River Parish, Louisiana",54.07055631,31981,"2016"
"1521","Texas","Loving County, Texas",89.0625,65866,"2016"
"1628","Texas","Kerr County, Texas",76.47466436,32024,"2016"
"585","Texas","Crockett County, Texas",70.25089606,38107,"2016"
"2224","Arkansas","Columbia County, Arkansas",61.39304602,31477,"2016"
"1642","New Mexico","Chaves County, New Mexico",63.5161147,30829,"2016"
"2469","South Dakota","Walworth County, South Dakota",76.5442067,32373,"2016"
"678","Pennsylvania","Northumberland County, Pennsylvania",69.8235681,35613,"2016"
"355","Michigan","Lake County, Michigan",59.29054054,27990,"2016"
"2338","Kentucky","Casey County, Kentucky",85.1374437,25195,"2016"
"1586","Texas","Grayson County, Texas",74.94263619,39679,"2016"
"1532","Alabama","Covington County, Alabama",83.58831711,32041,"2016"
"738","Washington","Cowlitz County, Washington",52.90975047,40018,"2016"
"787","South Carolina","Florence County, South Carolina",51.06110438,39090,"2016"
"964","Wisconsin","Shawano County, Wisconsin",64.69005432,38695,"2016"
"360","Missouri","St. Charles County, Missouri",60.59705383,53918,"2016"
"2039","Nevada","Nye County, Nevada",67.98693344,36204,"2016"
"1403","Texas","Wilbarger County, Texas",77.20068276,33215,"2016"
"361","Texas","Angelina County, Texas",72.53431537,35154,"2016"
"1775","Kansas","Lincoln County, Kansas",80.66298343,36343,"2016"
"1495","West Virginia","Doddridge County, West Virginia",83.0502477,30333,"2016"
"1068","Mississippi","Jones County, Mississippi",71.06548673,34710,"2016"
"492","Kansas","Rush County, Kansas",79.85074627,34950,"2016"
"2465","Wisconsin","Jefferson County, Wisconsin",55.30904451,40343,"2016"
"934","Indiana","Pulaski County, Indiana",70.88467905,38343,"2016"
"164","Indiana","Daviess County, Indiana",79.59202683,36828,"2016"
"1273","Oklahoma","Ellis County, Oklahoma",88.17086528,37317,"2016"
"762","Oregon","Jefferson County, Oregon",60.14198783,33498,"2016"
"188","Pennsylvania","Elk County, Pennsylvania",70.04475242,41818,"2016"
