diet,caloricintake
hf,568
hf,498
hf,589
hf,681
hf,540
hf,646
hf,636
hf,739
hf,539
hf,596
hf,607
hf,529
hf,637
hf,617
hf,633
hf,555
hf,565
hf,568
hf,584
hf,607
hf,530
hf,566
hf,687
hf,694
hf,566
hf,714
hf,639
hf,693
hf,556
hf,473
hf,593
hf,551
hf,683
hf,667
hf,649
hf,647
hf,580
hf,532
hf,467
hf,622
hf,650
hf,629
hf,651
nohf,705
nohf,819
nohf,706
nohf,509
nohf,613
nohf,582
nohf,601
nohf,608
nohf,787
nohf,573
nohf,428
nohf,754
nohf,741
nohf,628
nohf,537
nohf,748
nohf,663
nohf,526
nohf,541
nohf,462
nohf,719
nohf,754
nohf,740
nohf,688
nohf,539
nohf,725
nohf,711
nohf,607
nohf,816
nohf,426
nohf,773
nohf,480
nohf,632
nohf,569
nohf,547
nohf,710
nohf,679
nohf,674
nohf,505
nohf,527
nohf,679
nohf,830
nohf,602
nohf,765
nohf,593
nohf,723
nohf,730
nohf,701
nohf,672
nohf,685
nohf,800
nohf,663
nohf,369
nohf,596
nohf,758
nohf,637
nohf,553
nohf,620
nohf,679
nohf,599
nohf,566
nohf,484
nohf,739
nohf,717
nohf,642
nohf,663
nohf,563
nohf,733
nohf,664
nohf,625
nohf,655
nohf,466
nohf,462
nohf,603
nohf,646
nohf,588
nohf,476
nohf,421
nohf,812
nohf,547
nohf,643
nohf,693
nohf,624
nohf,549
nohf,726
nohf,645
nohf,794
nohf,490
nohf,514
nohf,580
nohf,624
nohf,566
nohf,709
nohf,518
nohf,554
nohf,623
nohf,747
nohf,583
nohf,573
nohf,536
nohf,833
nohf,644
nohf,594
nohf,596
nohf,750
nohf,582
nohf,788
