"","year","month","day","dep_time","sched_dep_time","dep_delay","arr_time","sched_arr_time","arr_delay","carrier","flight","tailnum","origin","dest","air_time","distance","hour","minute","time_hour","orig.id"
"1",2023,11,4,1641,1645,-4,1939,2001,-22,"B6",616,"N508JL","JFK","RSW",158,1074,16,45,2023-11-04 16:00:00,"371871"
"2",2023,12,4,954,950,4,1126,1137,-11,"YX",1713,"N232JQ","LGA","MSN",125,812,9,50,2023-12-04 09:00:00,"405597"
"3",2023,8,16,1543,1505,38,1731,1718,13,"AA",525,"N981NN","LGA","CLT",84,544,15,5,2023-08-16 15:00:00,"277129"
"4",2023,6,4,1420,1420,0,1545,1559,-14,"YX",1785,"N225JQ","LGA","PIT",57,335,14,20,2023-06-04 14:00:00,"190628"
"5",2023,3,14,1704,1710,-6,1950,2012,-22,"UA",271,"N440UA","EWR","PBI",143,1023,17,10,2023-03-14 17:00:00,"87946"
"6",2023,5,15,952,1000,-8,1239,1303,-24,"AA",606,"N873NN","LGA","DFW",180,1389,10,0,2023-05-15 10:00:00,"165584"
"7",2023,4,9,1944,1950,-6,2145,2215,-30,"YX",1516,"N815MD","LGA","IND",94,660,19,50,2023-04-09 19:00:00,"121142"
"8",2023,10,21,2339,2229,70,47,2358,49,"YX",1254,"N417YX","JFK","ORF",47,290,22,29,2023-10-21 22:00:00,"355633"
"9",2023,11,18,1514,1510,4,1729,1750,-21,"WN",693,"N491WN","LGA","ATL",105,762,15,10,2023-11-18 15:00:00,"388075"
"10",2023,10,11,539,545,-6,854,853,1,"AA",46,"N109NN","JFK","LAX",344,2475,5,45,2023-10-11 05:00:00,"342862"
"11",2023,9,29,727,715,12,939,840,59,"B6",709,"N323JB","JFK","DCA",75,213,7,15,2023-09-29 07:00:00,"328773"
"12",2023,7,25,1702,1559,63,2003,1907,56,"UA",400,"N69840","EWR","SEA",325,2402,15,59,2023-07-25 15:00:00,"250986"
"13",2023,6,15,839,840,-1,1050,1100,-10,"9E",1685,"N337PQ","JFK","CHS",102,636,8,40,2023-06-15 08:00:00,"203586"
"14",2023,8,24,923,929,-6,1130,1139,-9,"YX",871,"N757YX","EWR","AVL",88,583,9,29,2023-08-24 09:00:00,"286180"
"15",2023,5,27,1022,1020,2,1321,1332,-11,"DL",347,"N123DQ","LGA","SRQ",144,1047,10,20,2023-05-27 10:00:00,"180729"
"16",2023,10,8,1332,1340,-8,1549,1605,-16,"B6",616,"N231JB","JFK","ATL",115,760,13,40,2023-10-08 13:00:00,"339789"
"17",2023,8,22,2107,2000,67,2228,2139,49,"UA",356,"N38446","EWR","ORD",110,719,20,0,2023-08-22 20:00:00,"284585"
"18",2023,10,8,1930,1936,-6,2130,2140,-10,"AA",296,"N808NN","EWR","CLT",89,529,19,36,2023-10-08 19:00:00,"340220"
"19",2023,5,8,535,545,-10,703,705,-2,"NK",416,"N618NK","EWR","BNA",122,748,5,45,2023-05-08 05:00:00,"156507"
"20",2023,7,12,1456,1455,1,1637,1725,-48,"YX",1355,"N878RW","JFK","CLT",76,541,14,55,2023-07-12 14:00:00,"235523"
"21",2023,12,1,1029,1030,-1,1241,1250,-9,"B6",844,"N562JB","LGA","CHS",104,641,10,30,2023-12-01 10:00:00,"402375"
"22",2023,11,12,1125,1129,-4,1338,1347,-9,"9E",1566,"N228PQ","LGA","GSP",101,610,11,29,2023-11-12 11:00:00,"380640"
"23",2023,12,6,1234,1242,-8,1514,1545,-31,"UA",814,"N68817","EWR","TPA",141,997,12,42,2023-12-06 12:00:00,"408143"
"24",2023,4,7,1317,1315,2,1633,1647,-14,"UA",675,"N14118","EWR","SFO",354,2565,13,15,2023-04-07 13:00:00,"118403"
"25",2023,8,18,613,615,-2,845,809,36,"UA",382,"N78438","EWR","MSP",141,1008,6,15,2023-08-18 06:00:00,"278876"
"26",2023,4,27,2119,2120,-1,2256,2254,2,"9E",1288,"N927XJ","LGA","BGR",56,378,21,20,2023-04-27 21:00:00,"144143"
"27",2023,4,1,1339,1345,-6,1511,1510,1,"YX",997,"N731YX","EWR","PIT",68,319,13,45,2023-04-01 13:00:00,"110793"
"28",2023,2,27,1550,1600,-10,1726,1754,-28,"YX",1237,"N108HQ","JFK","BNA",119,765,16,0,2023-02-27 16:00:00,"68959"
"29",2023,8,2,1454,1455,-1,1642,1710,-28,"DL",498,"N364NB","LGA","DTW",80,502,14,55,2023-08-02 14:00:00,"260530"
"30",2023,1,20,1559,1600,-1,1657,1721,-24,"DL",829,"N118DU","LGA","BOS",35,184,16,0,2023-01-20 16:00:00,"22222"
