"","State","ST","County","Republicans.2016","Democrats.2016","Green.2016","Libertarians.2016","Less.Than.High.School.Diploma","At.Least.High.School.Diploma","At.Least.Bachelors.s.Degree","Graduate.Degree","School.Enrollment","Median.Earnings.2010","Children.Under.6.Living.in.Poverty","Adults.65.and.Older.Living.in.Poverty","Total.Population","Preschool.Enrollment.Ratio.enrolled.ages.3.and.4","Poverty.Rate.below.federal.poverty.threshold","Child.Poverty.living.in.families.below.the.poverty.line","White","Black","Hispanic","Asian","Amerindian","Other","Median.Age","Poor.physical.health.days","Poor.mental.health.days","Low.birthweight","Teen.births","Children.in.single.parent.households","Adult.smoking","Adult.obesity","Diabetes","Sexually.transmitted.infections","HIV.prevalence.rate","Uninsured","Unemployment","Violent.crime","Homicide.rate","Injury.deaths","Infant.mortality","orig.id"
"172","Georgia","GA","Talbot County, Georgia",36.87943262,61.70212766,NA,1.418439716,21.3,78.7,10.9,5.8,80.05,22719.44635,40.1,21.4,6680,45.3,25.4,31.05,39.25,58.75,0.65,0.05,0.15,1.15,43.1,NA,NA,0.16,62.9,0.495,NA,0.348,0.167,844.3,257.5,0.212,0.093,217.52,NA,112.6,NA,"172"
"258","Michigan","MI","Wayne County, Michigan",29.51937585,66.77954736,1.001225095,2.42272229,16.8,83.2,20.2,7.7,78.55,27723.06095,32.75,11.65,1899290,48.2,21.4,31.25,49.95,40.4,5.05,2.5,0.25,1.8,36.5,3.8,4,0.11,45.4,0.471,0.209,0.343,0.132,1098.7,451,0.166,0.117,1122.41,20.58,73,11,"258"
"274","Alabama","AL","Greene County, Alabama",17.23570547,82.39407651,0.102838338,0.267379679,27.4,72.6,9.9,4.7,79.85,20350.60191,52.65,22.2,9078,71,31,41.25,18.7,79.95,0.8,0.15,0.1,0.35,41.9,5.1,5.3,0.16,52.7,0.495,0.181,0.479,0.194,1636.6,242.8,0.177,0.114,1111.29,18.27,82,NA,"274"
"10","Utah","UT","Summit County, Utah",35.56350271,50.9164059,0.804649084,3.655689664,6.3,93.7,50.8,19.1,76.25,36834.50953,10.7,4.95,35984,49.2,7,7.3,85.3,0.35,11.6,1.65,0.1,0.95,36,2.4,2.2,0.09,23.1,0.174,0.075,0.153,0.04,143.6,77.2,0.148,0.053,93.63,NA,56.2,NA,"10"
"242","New York","NY","Erie County, New York",45.35366134,50.11506909,1.519642633,3.011626936,11.6,88.4,29.1,12.7,81.3,29502.8473,23.3,8.25,916620,57.8,13.95,20.4,78.7,13,4.15,2.3,0.55,1.35,40,3.9,3.3,0.08,26.1,0.368,0.162,0.289,0.101,551.7,251.5,0.097,0.083,496.24,6.58,46.7,8.2,"242"
"362","Pennsylvania","PA","Montgomery County, Pennsylvania",37.61570473,58.72969831,0.853823139,2.517959526,7.4,92.6,44.2,18.5,82.2,40658.30159,7.1,5.8,788090,60.6,5.55,6.35,80.6,8.15,3.75,5.8,0.1,1.65,40.2,2.7,3.1,0.07,14.2,0.206,0.151,0.24,0.075,225.9,139.6,0.084,0.068,194.35,2.27,51.9,5.4,"362"
"295","Virginia","VA","Albemarle County, Virginia",34.26087576,59.31699148,0.798090284,3.741048206,9.1,90.9,51.6,25.7,83.65,32584.70127,10.6,6.95,95918,68.2,8.05,8.3,79.2,9.55,4.6,4.55,0.15,2.05,37.6,2.2,2.3,0.06,13,0.217,0.124,0.27,0.107,197.9,114.2,0.134,0.048,123.87,NA,47.2,7.1,"295"
"226","Rhode Island","RI","Bristol County, Rhode Island",36.0364004,58.77451972,1.265925177,3.785642063,13.8,86.2,41.1,16.7,84.85,33715.40159,3.2,5.65,49948,59.1,6.5,4.2,94.5,0.75,1.85,1.6,0.1,1.2,41.9,2.8,2.9,0.06,7.8,0.169,0.133,0.203,0.062,148.6,54.4,0.09,0.089,81.58,NA,51.1,NA,"226"
"223","Vermont","VT","Windsor County, Vermont",30.91405576,63.03535499,2.198907732,3.345070423,8.4,91.6,32.8,14.5,76.05,28917.53905,15.65,7.75,56795,58.8,9.75,12.35,95.8,0.45,1.2,0.9,0.2,1.4,44.8,3.1,3.3,0.07,23,0.302,0.157,0.24,0.082,217.1,64.8,0.074,0.045,127.53,NA,78.7,5.2,"223"
"96","Washington","WA","Jefferson County, Washington",29.78109453,62.46766169,3.467661692,3.646766169,5.8,94.2,34.8,15.4,72.85,22075.42222,22.85,7.9,29547,49.1,13.15,20.05,89.8,0.7,2.75,1.3,2,3.35,52.7,4.4,4.1,0.05,24.9,0.288,0.147,0.251,0.095,133.7,65.9,0.162,0.094,179.4,NA,85.2,NA,"96"
